Afferenet,animal,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,Trial#,TrigStart.R,ms.F,Dyn.pfr,Stat.mSfr,Stat.afr,Stat.HzSTD,Stat.HzEnd,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,,TrigStart.Tri,ms.F1,Dyn.F,Dyn.pfr1,Dyn.pfr3,Thr.T1,Thr.F1,Thr.L1,Thr.T3,Thr.F3,Thr.L3,Dyn.slp1,Dyn.slp3,Dyn.spkNum1,Dyn.spkNum3,Dyn.RDR,Dyn.IFRdrop
A17024-17-23 aff 1,A17024-17-23,aff 1,1,WT,WT_Ia,0,0,,,Ia,,,83.16,30.00333333,172.7316667,84.58933333,93.556,34.86966667,77.84566667,297,10.44933333,15.49333333,0.1214,996.112,116.4205837,16.66666667,87,88.10666667,866.3173333,-36.6545,,201.084,12.170662,143.906367,118.371212,20.79175,123,21.910206,0.830512,338.672,29.874081,1.325507,81.693094,11.808847,22,13,9,51.404657
A17024-17-23 aff 2,A17024-17-23,aff 2,1,WT,WT_Ia,0,0,,,Ia,,,39.0705,11.9379445,233.4612368,94.64823475,107.8990075,37.21132525,80.78415475,297.619048,3.2,6.29043475,0.0515235,929.134,107.181673,21.25,97.5,138.8130023,766.847599,-77.8696515,,197.136,11.779471,135.534382,172.176309,164.041995,7.54,3.441776,0.028261,142.112,8.604816,0.547441,133.976121,201.485584,87,66,21,96.74015
A17024-18-42-cell 1,A17024-18-42,-cell 1,1,WT,WT_Ia,0,0,,,Ia,,,44.1265,12.2932875,237.281175,63.99854,83.981515,47.14326,45.8542225,347.2222,4.75,8.4553365,0.08251625,996.56,89.2250125,17.5,67.25,173.282625,1322.48575,-106.906,,150.571,31.85679,332.0945,210.9705,205.7613,5.52,3.985376,0.025313,242.26,32.13227,0.950602,204.8554,355.3668,100,65,35,83.47017
A17024-18-53-cell 7,A17024-18-53,-cell 7,1,WT,WT_Ia,0,0,,,Ia,,,66.2205,11.01755,180.514925,65.0928425,73.4954925,27.028165,56.78644,333.3333,18.26,14.3177355,0.15985425,999.15,137.0491,15.5,65.75,115.42205,1369.686,-54.97445,,181.039,21.43978,225.8272,133.3333,136.612,79.86,12.65174,0.269218,282.64,29.99421,1.087273,156.329,234.9127,58,39,19,83.15845
A17024-18-53-cell 9,A17024-18-53,-cell 9,1,WT,WT_Ia,0,0,,,Ia,,,61.3905,16.2722375,200.087325,76.7061925,88.547455,30.0318475,68.76869,347.373,5.33,8.648091,0.0853075,991.44,115.13478,14.5,80.25,123.38115,1249.493,-67.4434,,143.812,19.25871,333.9081,175.4386,165.0165,7.74,6.322265,0.026033,253.9,32.97961,0.982961,169.5499,291.5693,82,53,29,41.35338
A17024-18-60-cell 18,A17024-18-60,-cell 18,1,WT,WT_Ia,0,0,,,Ia,,,57.7815,20.762655,191.833,103.723775,112.99625,22.83,98.218495,260.4167,3.74,8.03080175,0.0717815,997.875,132.591075,23,108.25,88.10923,229.929425,-34.42325,,6.351,15.92768,127.5083,155.7632,160.2564,5.44,1.704457,0.011721,174.92,8.473547,0.662939,69.09091,156.8846,99,69,30,99.04885
A17024-18-60-cell 21,A17024-18-60,-cell 21,1,WT,WT_Ia,0,0,,,Ia,,,62.8955,21.2391625,191.968625,75.50437,85.1855775,31.1067675,56.6864425,235.800325,3.885,6.08218475,0.04084,999.385,136.29325,22.5,75.25,116.464275,212.4543,-63.753375,,165.817,21.3503,229.5699,147.4926,141.2429,6.26,5.523,0.005713,88.72,7.834921,0.330671,61.76136,160.5452,92,56,36,139.5687
A17024-18-60-cell 22,A17024-18-60,-cell 22,1,WT,WT_Ia,0,0,,,Ia,,,50.5755,17.7702875,256.44065,125.37825,134.071825,29.4409275,108.8544375,292.7062,3.68,8.44861275,0.065476,1000.515,113.38355,27,126.5,131.06235,788.77755,-74.8438,,8.187,9.62012,91.05283,191.5709,183.1502,6.4,2.439167,0.03735,220.22,11.20789,0.835059,154.1152,274.7997,93,60,33,120.1094
A17024-18-60-cell 24,A17024-18-60,-cell 24,1,WT,WT_Ia,0,0,,,Ia,,,41.5735,12.411275,233.95,91.199435,108.031985,24.2907625,97.0524425,216.4502,6.6,15.0707725,0.141433,1000.7,91.8934475,18.5,100.75,142.750575,1553.87225,-42.506625,,9.85,11.86336,105.4259,163.3987,158.7302,59.28,8.076728,0.265591,290.44,17.7072,1.130809,196.5743,278.9319,72,47,25,99.31549
A17024-18-65-cell 7,A17024-18-65,-cell 7,1,WT,WT_Ia,0,0,,,Ia,,,89.3445,12.065502,261.547025,81.9812375,95.22142,38.09582,71.52112,256.17115,4.46,10.87221075,0.0999805,997.38,221.5876,20,84.25,179.565775,1231.29625,-79.8918,,204.937,11.23321,124.0714,116.5501,111.8568,23.04,9.93606,0.097353,336.34,27.05666,1.328563,139.2022,254.8035,43,25,18,110.1659
