"","treatment_class","variable","N","value","sd","se","ci"
"1","OX_1.5","Dyn.DI",14,120.519394759286,41.6453334384788,11.1301835346249,24.0452996488818
"2","OX_1.5","Dyn.F",14,159.983177,47.0994902426554,12.5878682556942,27.1944360312847
"3","OX_1.5","Dyn.IB",14,0,0,0,0
"4","OX_1.5","Dyn.IFRdrop",14,92.5667726428571,33.9150605371854,9.06418119870323,19.5819729581778
"5","OX_1.5","Dyn.pfr",14,168.610323014286,41.5523184060344,11.1053242215372,23.9915943680661
"6","OX_1.5","Dyn.pfr1",14,112.067220285714,31.5913423746723,8.44314139673552,18.2402980355909
"7","OX_1.5","Dyn.pfr3",14,104.157756785714,31.0604603781802,8.30125721504409,17.9337758966168
"8","OX_1.5","Dyn.RDR",14,13.4285714285714,8.16855401679359,2.18313789115698,4.71638267279181
"9","OX_1.5","Dyn.slp",14,2001.68226159286,824.980860125189,220.485409231038,476.329767310106
"10","OX_1.5","Dyn.slp1",14,168.8595615,39.7384530461375,10.6205483127893,22.9442996893987
"11","OX_1.5","Dyn.slp3",14,246.016546,74.5168867712402,19.9154757019292,43.0247694849941
"12","OX_1.5","Dyn.spkNum",14,10.3154761905,2.99878511213709,0.801459033298246,1.7314469749765
"13","OX_1.5","Dyn.spkNum1",14,38.6428571428571,15.9451325722696,4.26151593372302,9.20644545223198
"14","OX_1.5","Dyn.spkNum3",14,25.2142857142857,9.97827310038837,2.66680566095113,5.76128336279637
"15","OX_1.5","Stat.afr",14,68.9246568692857,15.8340021464692,4.23181507810935,9.14228065469408
"16","OX_1.5","Stat.HzEnd",14,40.7115934107143,19.1871164597534,5.127972573752,11.0783112195347
"17","OX_1.5","Stat.HzSTD",14,35.2036376785714,15.8080355823027,4.22487522192201,9.12728800690659
"18","OX_1.5","Stat.LSpkF",14,109.910234039286,28.3254091636312,7.57028403074963,16.3546043405523
"19","OX_1.5","Stat.LSpkT",14,899.9,169.137816057703,45.2039827739368,97.657267532097
"20","OX_1.5","Stat.mSfr",14,53.615230875,14.3494369729673,3.83504834613931,8.28511824301883
