"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","treatment","treatment_text","autoClass","treatment_class","Cancer","Chemotherapy"
"WT",1.91975333451353,-0.823034194394151,-0.150255433458216,-1.07265730574858,2.20348665791611,1,"WT","Ia","WT_Ia",0,0
"WT.1",6.10963576092037,0.977614403796359,-0.8285468455518,1.13595656806704,1.85856487272779,1,"WT","Ia","WT_Ia",0,0
"WT.2",5.76348540800817,2.49802328801924,-1.98881650865888,3.12494704523159,0.571616537674974,1,"WT","Ia","WT_Ia",0,0
"WT.3",3.10407183125646,0.575483602981617,-0.692397182614505,1.11152904042093,1.28198338563773,1,"WT","Ia","WT_Ia",0,0
"WT.4",4.67584640373095,1.554181516502,-0.0409117483106428,1.99339634603436,1.10742593767983,1,"WT","Ia","WT_Ia",0,0
"WT.5",6.22731588000503,0.26730930374813,0.668320617285427,1.30283649354278,2.64622723056378,1,"WT","Ia","WT_Ia",0,0
"WT.6",5.46304260738637,-0.360804288986754,-0.903858449863711,2.60921025551199,1.90371996545131,1,"WT","Ia","WT_Ia",0,0
"WT.7",7.37004847259931,2.03194730090688,-0.257147390094261,0.672000113465921,2.76408350037977,1,"WT","Ia","WT_Ia",0,0
"WT.8",5.0987996142891,1.49990711921889,-0.48725139420255,0.0150358557206096,1.25311462551792,1,"WT","Ia","WT_Ia",0,0
"WT.9",3.76905603154411,1.5457444241306,-1.89746641636366,-0.573484249057419,2.31582061508495,1,"WT","Ia","WT_Ia",0,0
"WT.10",1.92976708879387,-3.82695602717886,1.39459521929522,0.899283729458226,0.507096958373504,1,"WT","Ia","WT_Ia",0,0
"POX",0.570586249928288,-2.19544793373995,-0.408585408598922,0.211796471304222,-1.76685886541627,4,"POX","Ia","POX_Ia",1,1
"POX.1",-3.02777469815567,1.76867533828175,-6.18741908707989,-3.50726476682679,3.22428535485468,4,"POX","Ia","POX_Ia",1,1
"POX.2",0.876414836848526,-0.245996400132455,0.0393793889908076,-0.908526871652798,-0.274703155905737,4,"POX","Ia","POX_Ia",1,1
"POX.3",-2.04289594850647,1.20628890375738,-5.48633925754146,-0.895143418440189,0.140845421367878,4,"POX","Ia","POX_Ia",1,1
"POX.4",-2.28627788221728,0.0206201083541988,-2.1441672999811,-0.28964465401555,-0.999566822087395,4,"POX","Ia","POX_Ia",1,1
"POX.5",2.0992867446258,-0.950971215005794,-1.04714834814783,0.808660141196175,1.49825050234489,4,"POX","Ia","POX_Ia",1,1
"POX.6",0.79932686439671,2.14261566407617,-3.2972917525641,-0.178089652935637,-1.82794994411653,4,"POX","Ia","POX_Ia",1,1
"POX.7",1.95670029006232,-0.611088057275802,-1.08131092932635,-0.323348898872885,-0.232794126168983,4,"POX","Ia","POX_Ia",1,1
"POX.8",-0.546766912056586,-0.66943345134521,-2.81072877106906,0.148689322329167,-0.606102233514463,4,"POX","Ia","POX_Ia",1,1
"POX.9",3.05292378968307,-0.177951555683231,-0.687455570439133,1.16558118660434,1.76429059071963,4,"POX","Ia","POX_Ia",1,1
"WT.11",3.24575877930973,0.410647009061829,-0.222210622943502,1.86242046753713,-1.17922592602175,1,"WT","1.5","WT_1.5",0,0
"WT.12",0.757920027132469,0.289558977318813,-1.52556483649715,1.94612609291554,-1.84065546852958,1,"WT","1.5","WT_1.5",0,0
"WT.13",2.4671862516685,0.586106934592626,-1.11945480350788,2.10561297531647,-1.33884430158534,1,"WT","1.5","WT_1.5",0,0
"WT.14",0.447772770181814,-1.82794873117176,1.45460206516154,0.761923847207815,-0.96328232880946,1,"WT","1.5","WT_1.5",0,0
"WT.15",3.83789407791484,0.491444318535445,1.02292979527498,1.12632505324891,-0.547662316322771,1,"WT","1.5","WT_1.5",0,0
"WT.16",2.05129372843394,-0.0792374491627841,0.948669016815686,1.56147843924589,-1.27802684705129,1,"WT","1.5","WT_1.5",0,0
"WT.17",4.20846779782363,3.54474511210714,0.282183157913864,0.542884242887531,-0.656705978017078,1,"WT","1.5","WT_1.5",0,0
"POX.10",-1.3206159246987,-0.0827907802036311,-1.04174378653984,-1.14253466392989,-0.9574366149732,4,"POX","1.5","POX_1.5",1,1
"POX.11",-5.35352582657752,1.01539366433319,-2.54253311142608,0.284272886411955,-1.45772564980487,4,"POX","1.5","POX_1.5",1,1
"POX.12",-2.80423093617824,-1.34792496428222,-1.35526691058204,-1.47590609528527,0.837022343939151,4,"POX","1.5","POX_1.5",1,1
"POX.13",-5.78937912016761,-0.827190424055332,-1.22617430715198,-0.90441950381322,0.903281846950466,4,"POX","1.5","POX_1.5",1,1
"WT.18",2.30344378983256,0.280826195184565,-0.0489394968994283,0.615336624578425,-0.967390576436376,1,"WT","1.5","WT_1.5",0,0
"WT.19",1.86343939582833,0.56412043089153,-3.32170499232638,-0.18974886119972,-1.10259587489168,1,"WT","1.5","WT_1.5",0,0
"WT.20",1.81251310198405,-0.66866202408446,-2.76703657337862,0.913889827646906,-1.49209608059994,1,"WT","1.5","WT_1.5",0,0
